id,title,company,city,salary,education,experience,job_type,skills,benefits,description,requirements,publish_date,contact_person,phone,email,address,source,status,views,applications
11,养老护理员,社区卫生服务中心709,沈阳,15000-20000元/月,大专,1年以下,兼职,血糖监测、身体健康、基础护理、营养配餐、伤口护理、有爱心、无传染病、沟通技巧,包吃包住、交通补贴,负责养老护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：不限；工作经验：3-5年；技能要求：身体健康、伤口护理、血糖监测、康复护理、鼻饲护理、耐心细心、安全防护；年龄要求：41岁以下；学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-15,李秀芳,15790046151,zgao@example.org,天津市凤英县魏都海门路W座 462180,拉勾网,已结束,841,40
12,重症护理员,医院947,石家庄,2000-3000元/月,护理专业优先,3-5年,白班,血糖监测、沟通技巧、吸痰护理、血压测量、责任心强、鼻饲护理,带薪年假、意外保险、生日福利、晋升空间,招聘重症护理员，工作地点在石家庄，要求身体健康，有爱心，能吃苦耐劳。,工作经验：1年以下；性别要求：男；学历要求：中专；技能要求：安全防护、血糖监测、生活护理、伤口护理、身体健康、心理护理；年龄要求：22岁以下；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-18,林晶,13715929034,ohan@example.org,广西壮族自治区永安县吉区蒋街w座 387995,51job,已结束,576,12
13,护理师,护理站775,西安,16606元/月,中专,5-10年,兼职,沟通技巧、翻身护理、无传染病、身体健康,节日福利、包吃包住、年终奖、培训机会、带薪年假,负责护理师工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：女；学历要求：大专；年龄要求：49岁以下；技能要求：责任心强、导尿护理、按摩技能,2025-09-18,赵俊,15392941460,zxiong@example.net,四川省秀梅市房山六盘水街D座 302485,51job,已暂停,227,11
14,护理师,养老院733,无锡,3266元/月,不限,1年以下,短期,急救技能、翻身护理、导尿护理、有爱心、耐心细心、按摩技能、身体健康、药物管理,住宿补贴、包吃包住、培训机会、五险一金、节日福利、晋升空间,为护理师岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,年龄要求：37岁以下；性别要求：不限；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-23,孙丹丹,18667646167,oyao@example.org,江西省利市璧山哈尔滨路a座 800983,Boss直聘,已结束,941,6
15,医疗护理员,专业护理机构209,大连,14084元/月,本科,5-10年,全职,身体健康、急救技能、鼻饲护理、沟通技巧、按摩技能,带薪年假、年终奖、绩效奖金、五险一金,负责医疗护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,学历要求：本科；年龄要求：28岁以下；工作经验：5-10年；性别要求：男,2025-09-11,边倩,13409775850,fjin@example.com,河南省辉县璧山蔡路m座 560196,拉勾网,已结束,917,28
16,护理师,医疗科技公司339,上海,17104元/月,大专,1年以下,全职,安全防护、伤口护理、吃苦耐劳、药物管理、耐心细心、康复护理、翻身护理、按摩技能,住宿补贴、加班费、生日福利,在医疗科技公司339担任护理师，负责日常护理工作，具备良好的沟通能力和责任心。,工作经验：1-3年；性别要求：女；学历要求：中专,2025-08-20,程建华,15345790196,na17@example.com,浙江省永安市怀柔禹路I座 685088,拉勾网,已暂停,376,27
17,重症护理员,医疗科技公司310,济南,25000-30000元/月,本科,1-3年,白班,导尿护理、急救技能、翻身护理、吃苦耐劳、体位护理、生活护理、安全防护、身体健康,节日福利、健康体检、加班费、培训机会、交通补贴、餐补,为重症护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：中专；性别要求：女；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：51岁以下,2025-09-12,王志强,13288179595,ming96@example.net,陕西省合肥市沙市长春街s座 113683,Boss直聘,已结束,217,5
18,专业护理员,医疗集团195,南京,8000-10000元/月,高中,5-10年,临时,医疗护理、翻身护理、伤口护理、耐心细心、安全防护,意外保险、带薪年假、住宿补贴、交通补贴、健康体检、五险一金,负责专业护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,工作经验：1年以下；技能要求：吸痰护理、体位护理、耐心细心、急救技能、导尿护理、心理护理、安全防护；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：40岁以下；学历要求：本科,2025-09-17,孙玉华,15559630569,fangkong@example.net,黑龙江省郑州市普陀宜都街F座 893521,拉勾网,招聘中,279,9
19,医院护理员,家政服务公司318,石家庄,12713元/月,高中,1年以下,实习,身体健康、基础护理、药物管理、生活护理、吸痰护理、责任心强,生日福利、绩效奖金、节日福利、健康体检、培训机会,为医院护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,年龄要求：56岁以下；工作经验：不限；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：按摩技能、导尿护理、血糖监测,2025-08-27,宋秀兰,13138601639,yangang@example.net,江苏省济南市上街巢湖街h座 484852,拉勾网,已结束,375,26
20,老年护理员,家政服务公司602,海口,4200元/月,中专,1年以下,长期,耐心细心、生活护理、吃苦耐劳、安全防护、身体健康,五险一金、住宿补贴、交通补贴、餐补、生日福利,负责老年护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：女；年龄要求：54岁以下；技能要求：基础护理、营养配餐、血糖监测、生活护理；学历要求：护理专业优先,2025-08-29,江丽丽,15328066125,leidong@example.net,四川省澳门市长寿樊街N座 706695,猎聘网,招聘中,176,48
21,高级护理员,社区卫生服务中心204,贵阳,3000-4000元/月,初中,5-10年,白班,耐心细心、血压测量、营养配餐、生活护理、康复护理、按摩技能,带薪年假、生日福利、年终奖,在社区卫生服务中心204担任高级护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：药物管理、急救技能、心理护理、翻身护理、吸痰护理、生活护理、营养配餐、伤口护理；年龄要求：51岁以下；学历要求：初中；工作经验：5-10年；性别要求：不限,2025-09-15,覃晨,15808515080,osun@example.com,广西壮族自治区六安市沈河广州街e座 512641,猎聘网,已暂停,324,14
22,老年护理员,医疗科技公司38,郑州,12000-15000元/月,初中,不限,夜班,体位护理、血压测量、心理护理、耐心细心、按摩技能、身体健康,生日福利、交通补贴、培训机会、住宿补贴、餐补,招聘老年护理员，工作地点在郑州，要求身体健康，有爱心，能吃苦耐劳。,技能要求：安全防护、身体健康、吃苦耐劳；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：42岁以下；性别要求：女；工作经验：3-5年；学历要求：大专,2025-09-09,温荣,18794942765,amo@example.org,四川省旭县南长徐路Y座 840351,51job,招聘中,907,14
23,残疾人护理员,医疗集团522,天津,20000-25000元/月,不限,不限,全职,血压测量、鼻饲护理、有爱心、血糖监测、吃苦耐劳,住宿补贴、节日福利,招聘残疾人护理员，工作地点在天津，要求身体健康，有爱心，能吃苦耐劳。,性别要求：男；技能要求：责任心强、生活护理、安全防护、鼻饲护理、按摩技能、伤口护理；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：本科；年龄要求：33岁以下；工作经验：1-3年,2025-09-08,洪玉华,18792076633,gongxia@example.org,新疆维吾尔自治区澳门县梁平刘路y座 135982,智联招聘,招聘中,232,6
24,养老护理员,家政服务公司406,兰州,9917元/月,不限,1年以下,夜班,沟通技巧、按摩技能、营养配餐、无传染病、心理护理、药物管理、耐心细心、医疗护理,健康体检、五险一金、晋升空间、带薪年假、生日福利,负责养老护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,工作经验：5-10年；技能要求：吃苦耐劳、生活护理、伤口护理；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：男,2025-09-01,姬兰英,15546708590,laijie@example.org,湖南省重庆市大兴陈路v座 795072,智联招聘,已结束,65,22
25,护理助理,医院526,西宁,10000-12000元/月,本科,10年以上,兼职,血糖监测、按摩技能、导尿护理、鼻饲护理,包吃包住、绩效奖金,在医院526担任护理助理，负责日常护理工作，具备良好的沟通能力和责任心。,工作经验：1年以下；技能要求：吸痰护理、按摩技能、导尿护理、责任心强、耐心细心、沟通技巧；年龄要求：29岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女,2025-08-25,李玉珍,13504162988,li99@example.net,上海市成都县高港韩街Q座 241132,Boss直聘,招聘中,790,24
26,康复护理员,医院941,长春,3022元/月,中专,不限,全职,血压测量、安全防护、康复护理,加班费、带薪年假,招聘康复护理员，工作地点在长春，要求身体健康，有爱心，能吃苦耐劳。,性别要求：女；学历要求：不限；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：3-5年；年龄要求：36岁以下；技能要求：吸痰护理、无传染病、翻身护理、营养配餐、责任心强、心理护理,2025-08-24,王凤兰,14547305146,sunguiying@example.org,陕西省永安市涪城邓街l座 765834,智联招聘,已结束,331,43
27,护工,健康管理公司878,北京,3899元/月,本科,1年以下,临时,按摩技能、吸痰护理、无传染病,加班费、意外保险、生日福利,需要护工，负责照顾患者日常生活，协助医疗护理，提供专业服务。,年龄要求：33岁以下；技能要求：伤口护理、鼻饲护理、翻身护理、药物管理、沟通技巧、心理护理、安全防护、按摩技能；学历要求：护理专业优先；性别要求：不限,2025-09-11,刘倩,14533226330,jiangfang@example.net,宁夏回族自治区玉县普陀重庆街F座 195150,智联招聘,已暂停,39,29
28,医疗护理员,医疗集团674,太原,26301元/月,高中,3-5年,长期,营养配餐、体位护理、血压测量、药物管理、基础护理、翻身护理、沟通技巧、吸痰护理,住宿补贴、晋升空间、餐补,在医疗集团674担任医疗护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：医疗护理、耐心细心、血压测量、血糖监测、药物管理、吃苦耐劳、责任心强、有爱心；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：18岁以下；性别要求：不限；工作经验：10年以上,2025-09-04,黄辉,15018333910,na11@example.com,安徽省西宁县大东梧州街e座 375912,Boss直聘,已暂停,855,2
29,医院护理员,养老院121,苏州,5873元/月,高中,3-5年,实习,血糖监测、医疗护理、康复护理、鼻饲护理、吸痰护理、心理护理、营养配餐,带薪年假、住宿补贴、包吃包住、加班费,需要医院护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,年龄要求：52岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：不限,2025-08-26,裴英,13021038838,zhougang@example.com,江苏省长春县南湖梧州路i座 914764,Boss直聘,已暂停,199,2
30,护工,专业护理机构663,太原,6000-8000元/月,不限,不限,实习,血糖监测、鼻饲护理、急救技能、责任心强,节日福利、意外保险、带薪年假、包吃包住、住宿补贴、交通补贴,招聘护工，工作地点在太原，要求身体健康，有爱心，能吃苦耐劳。,其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：37岁以下；性别要求：女；技能要求：耐心细心、责任心强、伤口护理、翻身护理,2025-09-06,刘建军,18257267486,fwei@example.net,黑龙江省永安县朝阳惠州路g座 578415,智联招聘,已暂停,242,29
31,家庭护理员,医院530,银川,10000-12000元/月,大专,5-10年,长期,医疗护理、安全防护、有爱心、心理护理、营养配餐、按摩技能,加班费、交通补贴、健康体检,负责家庭护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：男；年龄要求：40岁以下；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-06,何秀云,15697742421,xiulanmo@example.net,内蒙古自治区长春县浔阳苏街a座 171379,猎聘网,已暂停,870,37
32,残疾人护理员,养老院545,武汉,8000-10000元/月,高中,1年以下,临时,营养配餐、按摩技能、安全防护、生活护理、康复护理、责任心强,包吃包住、意外保险,招聘残疾人护理员，工作地点在武汉，要求身体健康，有爱心，能吃苦耐劳。,性别要求：不限；年龄要求：27岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：10年以上,2025-09-16,何婷婷,18275941221,xgong@example.org,上海市天津县海陵六安街N座 307390,51job,招聘中,499,5
33,老年护理员,家政服务公司63,石家庄,6000-8000元/月,本科,1年以下,短期,医疗护理、吃苦耐劳、安全防护、药物管理、按摩技能、吸痰护理、翻身护理、基础护理,包吃包住、餐补、节日福利,为老年护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,工作经验：不限；年龄要求：18岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：不限；技能要求：吃苦耐劳、体位护理、无传染病,2025-09-17,金秀珍,14582122442,taoxue@example.com,湖南省建平市华龙关岭路x座 650921,51job,已结束,622,7
34,病患护理员,养老服务公司282,银川,25000-30000元/月,中专,5-10年,白班,血压测量、生活护理、无传染病、医疗护理、安全防护、基础护理、责任心强,晋升空间、健康体检、节日福利、包吃包住、交通补贴、带薪年假,招聘病患护理员，工作地点在银川，要求身体健康，有爱心，能吃苦耐劳。,其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：初中；年龄要求：55岁以下；工作经验：不限；技能要求：沟通技巧、基础护理、医疗护理、营养配餐、安全防护；性别要求：不限,2025-09-12,吕秀荣,13600007646,leijuan@example.com,西藏自治区佛山县丰都永安路O座 133806,Boss直聘,已结束,713,28
35,重症护理员,康复中心873,哈尔滨,5495元/月,不限,5-10年,实习,安全防护、药物管理、康复护理、心理护理、吃苦耐劳,交通补贴、包吃包住,负责重症护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：43岁以下；性别要求：男,2025-08-29,王英,18502256506,yanliao@example.com,广东省永安市高港王街I座 156997,智联招聘,已暂停,768,8
36,护理助理,家政服务公司761,武汉,8000-10000元/月,不限,10年以上,白班,导尿护理、安全防护、营养配餐、药物管理,晋升空间、包吃包住、绩效奖金、带薪年假、健康体检,需要护理助理，负责照顾患者日常生活，协助医疗护理，提供专业服务。,其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：5-10年；学历要求：高中,2025-08-21,白峰,18545633886,zkong@example.net,吉林省利县蓟州蒋路W座 241021,51job,招聘中,752,35
37,康复护理员,养老院81,无锡,3000-4000元/月,护理专业优先,3-5年,长期,生活护理、急救技能、吸痰护理、沟通技巧,意外保险、交通补贴、加班费、带薪年假、晋升空间、包吃包住,在养老院81担任康复护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：导尿护理、吃苦耐劳、伤口护理、沟通技巧、血压测量、耐心细心、血糖监测；工作经验：10年以上；年龄要求：47岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：大专,2025-09-05,黎雷,13516232093,dinggang@example.net,广西壮族自治区淑兰县门头沟台北街c座 150874,Boss直聘,已暂停,474,12
38,高级护理员,养老院983,南昌,18483元/月,护理专业优先,5-10年,白班,伤口护理、生活护理、药物管理、责任心强,绩效奖金、住宿补贴,负责高级护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,技能要求：责任心强、基础护理、康复护理；学历要求：高中；性别要求：女；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-20,谢兵,15633334598,jun17@example.net,宁夏回族自治区张家港县六枝特周路m座 938219,51job,招聘中,623,19
39,重症护理员,专业护理机构559,海口,17907元/月,中专,10年以上,长期,急救技能、体位护理、责任心强、血糖监测,餐补、培训机会、交通补贴、生日福利、晋升空间、带薪年假,负责重症护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,年龄要求：32岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：体位护理、血压测量、血糖监测、医疗护理,2025-09-07,杨娟,18781142195,gangxiang@example.net,新疆维吾尔自治区冬梅市锡山文街V座 598081,51job,已结束,113,11
40,病患护理员,社区卫生服务中心358,天津,6000-8000元/月,初中,1-3年,长期,吃苦耐劳、导尿护理、沟通技巧、血糖监测、吸痰护理、基础护理,培训机会、带薪年假,招聘病患护理员，工作地点在天津，要求身体健康，有爱心，能吃苦耐劳。,技能要求：鼻饲护理、安全防护、翻身护理、药物管理、导尿护理、身体健康、沟通技巧；性别要求：男；学历要求：护理专业优先,2025-08-24,陈彬,13550130727,ylei@example.net,青海省南京县山亭陈街J座 857498,51job,已结束,447,7
41,残疾人护理员,康复中心358,银川,12000-15000元/月,护理专业优先,1年以下,长期,有爱心、无传染病、翻身护理、沟通技巧,带薪年假、包吃包住、住宿补贴,为残疾人护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,技能要求：药物管理、耐心细心、急救技能、导尿护理、伤口护理、沟通技巧、血糖监测；年龄要求：18岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：3-5年；学历要求：不限；性别要求：男,2025-08-30,郭博,18742248962,yangxie@example.org,澳门特别行政区沈阳市闵行赖街E座 140021,猎聘网,招聘中,659,9
42,高级护理员,健康产业公司395,上海,4000-5000元/月,大专,1年以下,全职,沟通技巧、翻身护理、有爱心、安全防护、药物管理,加班费、培训机会、五险一金、住宿补贴,在健康产业公司395担任高级护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：伤口护理、血压测量、按摩技能、吸痰护理、生活护理、药物管理；工作经验：3-5年；学历要求：不限；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：男；年龄要求：20岁以下,2025-09-02,曾华,13832485782,songyong@example.net,吉林省香港县沙市黄路x座 673705,智联招聘,招聘中,874,37
43,护工,家政服务公司595,重庆,3000-4000元/月,护理专业优先,5-10年,短期,耐心细心、沟通技巧、身体健康、翻身护理,加班费、健康体检、生日福利,招聘护工，工作地点在重庆，要求身体健康，有爱心，能吃苦耐劳。,性别要求：男；技能要求：医疗护理、吸痰护理、吃苦耐劳、安全防护、药物管理、按摩技能、生活护理；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：中专；年龄要求：33岁以下；工作经验：1-3年,2025-09-04,张玉英,13457917339,chenjie@example.org,广西壮族自治区西安县怀柔张家港街Z座 724485,51job,招聘中,582,0
44,重症护理员,医院635,深圳,8000-10000元/月,中专,3-5年,短期,耐心细心、血糖监测、无传染病、伤口护理、药物管理,培训机会、生日福利、交通补贴,招聘重症护理员，工作地点在深圳，要求身体健康，有爱心，能吃苦耐劳。,性别要求：男；学历要求：不限；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1-3年；年龄要求：36岁以下,2025-09-15,叶刚,13632883177,zhongchao@example.net,山西省淑兰市房山沈阳街i座 924093,Boss直聘,已暂停,978,27
45,医院护理员,医疗科技公司661,南京,9300元/月,护理专业优先,1-3年,白班,翻身护理、医疗护理、吸痰护理,住宿补贴、五险一金、意外保险、健康体检、包吃包住、节日福利,为医院护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,工作经验：1-3年；学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-22,陈红梅,15173457190,qiang47@example.com,江西省娟县兴山黄路S座 396572,51job,招聘中,509,47
46,医疗护理员,养老院116,深圳,5000-6000元/月,本科,5-10年,夜班,基础护理、身体健康、营养配餐,年终奖、住宿补贴、交通补贴、生日福利、晋升空间、绩效奖金,需要医疗护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,学历要求：本科；性别要求：男；工作经验：1-3年；年龄要求：51岁以下,2025-09-17,何丽丽,15722038384,qiang74@example.com,澳门特别行政区玉英市吉区成都路Q座 914800,智联招聘,已暂停,278,10
47,家庭护理员,医疗集团530,大连,3000-4000元/月,大专,1-3年,实习,基础护理、身体健康、吸痰护理、急救技能,生日福利、住宿补贴、健康体检、培训机会,需要家庭护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,工作经验：10年以上；年龄要求：39岁以下；性别要求：男,2025-09-17,牛华,14582873040,guiying36@example.org,黑龙江省宜都市大兴杭州路d座 886042,拉勾网,已暂停,840,39
48,术后护理员,专业护理机构161,乌鲁木齐,10000-12000元/月,高中,10年以上,临时,有爱心、药物管理、基础护理、医疗护理、康复护理、吃苦耐劳、身体健康、生活护理,住宿补贴、健康体检、晋升空间、带薪年假、包吃包住、生日福利,在专业护理机构161担任术后护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：医疗护理、安全防护、营养配餐、体位护理、血糖监测、吸痰护理、沟通技巧、急救技能；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：初中；性别要求：男,2025-09-09,王琳,13267946803,zhongxiulan@example.net,河北省桂珍市静安饶路t座 941852,拉勾网,已暂停,165,44
49,医院护理员,健康管理公司980,哈尔滨,6271元/月,护理专业优先,1年以下,长期,体位护理、吃苦耐劳、沟通技巧,包吃包住、健康体检、节日福利、住宿补贴,为医院护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,技能要求：责任心强、无传染病、血压测量、生活护理、按摩技能、身体健康、心理护理；年龄要求：27岁以下；性别要求：男；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：大专；工作经验：3-5年,2025-08-21,周娟,15159460179,sding@example.net,广东省洁市长寿殷路M座 959251,猎聘网,招聘中,378,37
50,家庭护理员,健康管理公司542,北京,15000-20000元/月,中专,1年以下,兼职,体位护理、鼻饲护理、营养配餐、生活护理,加班费、带薪年假、五险一金、培训机会、年终奖,负责家庭护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,工作经验：3-5年；学历要求：高中；性别要求：不限；技能要求：沟通技巧、血糖监测、生活护理、责任心强、鼻饲护理、急救技能,2025-09-02,刘坤,14791449351,jieshao@example.org,湖南省通辽市崇文黄街a座 122132,拉勾网,招聘中,505,21
51,老年护理员,养老院640,青岛,5673元/月,不限,3-5年,夜班,耐心细心、吃苦耐劳、生活护理、基础护理、沟通技巧、血糖监测、按摩技能,加班费、包吃包住、节日福利、餐补、年终奖,需要老年护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,技能要求：吃苦耐劳、血糖监测、安全防护、医疗护理、导尿护理、按摩技能、血压测量；性别要求：男；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-07,叶桂英,15002662536,hcheng@example.org,北京市晶县清浦杨街Z座 589440,猎聘网,已暂停,412,18
52,医疗护理员,社区卫生服务中心384,郑州,6197元/月,不限,不限,兼职,吸痰护理、基础护理、医疗护理、伤口护理、血糖监测、有爱心,节日福利、包吃包住,为医疗护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,年龄要求：38岁以下；性别要求：女；学历要求：初中；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-31,邢丽娟,18974728793,cbai@example.net,澳门特别行政区潜江市花溪欧阳路l座 639109,拉勾网,招聘中,399,19
